序號,答案
20240117090001,829.23
20240117091001,768.34
20240117092001,1459.74
20240117093001,1748.26
20240117094001,1446.23
20240117095001,837.32
20240117100001,853.31
20240117101001,1078.22
20240117102001,1089.82
20240117103001,1335.47
20240117104001,1446.64
20240117105001,1426.23
20240117110001,692.84
20240117111001,478.09
20240117112001,389.35
20240117113001,363.79
20240117114001,222.2
20240117115001,170.11
20240117120001,162.23
20240117121001,150.57
20240117122001,145.46
20240117123001,148.72
20240117124001,129.98
20240117125001,133.15
20240117130001,356.58
20240117131001,200.56
20240117132001,129.43
20240117133001,130.58
20240117134001,174.5
20240117135001,260.76
20240117140001,291.54
20240117141001,195.06
20240117142001,201.03
20240117143001,137.94
20240117144001,152.81
20240117145001,148.53
20240117150001,299.91
20240117151001,178.43
20240117152001,64.83
20240117153001,84.76
20240117154001,20.81
20240117155001,18.19
20240117160001,39.7
20240117161001,7.08
20240117162001,11.39
20240117163001,20.13
20240117164001,7.69
20240117165001,5.05
20240119090001,172.24
20240119091001,206.42
20240119092001,476.05
20240119093001,469.18
20240119094001,453.57
20240119095001,416.57
20240119100001,329.44
20240119101001,453.72
20240119102001,360.18
20240119103001,881.02
20240119104001,1395.14
20240119105001,1226.68
20240119110001,558.72
20240119111001,743.7
20240119112001,1308.63
20240119113001,1120.6
20240119114001,1128.4
20240119115001,1104.32
20240119120001,793.13
20240119121001,713.25
20240119122001,1039.6
20240119123001,1013.25
20240119124001,1015.0
20240119125001,1083.24
20240119130001,1006.03
20240119131001,577.21
20240119132001,432.75
20240119133001,427.62
20240119134001,342.87
20240119135001,243.21
20240119140001,175.78
20240119141001,143.58
20240119142001,190.25
20240119143001,189.42
20240119144001,250.46
20240119145001,232.6
20240119150001,66.82
20240119151001,40.88
20240119152001,28.08
20240119153001,23.94
20240119154001,29.65
20240119155001,20.72
20240119160001,5.11
20240119161001,6.7
20240119162001,4.71
20240119163001,4.01
20240119164001,9.72
20240119165001,4.86
20240224090001,61.4
20240224091001,65.09
20240224092001,59.37
20240224093001,41.29
20240224094001,52.71
20240224095001,192.36
20240224100001,77.34
20240224101001,88.33
20240224102001,66.26
20240224103001,71.76
20240224104001,102.74
20240224105001,210.9
20240224110001,30.98
20240224111001,36.31
20240224112001,37.24
20240224113001,37.24
20240224114001,65.01
20240224115001,69.07
20240224120001,39.22
20240224121001,37.78
20240224122001,32.5
20240224123001,31.39
20240224124001,36.1
20240224125001,58.83
20240224130001,55.54
20240224131001,37.85
20240224132001,31.9
20240224133001,30.55
20240224134001,23.32
20240224135001,18.24
20240224140001,28.34
20240224141001,23.72
20240224142001,18.83
20240224143001,15.48
20240224144001,13.38
20240224145001,7.48
20240224150001,8.83
20240224151001,11.77
20240224152001,7.02
20240224153001,6.51
20240224154001,7.16
20240224155001,6.52
20240224160001,2.27
20240224161001,2.82
20240224162001,1.88
20240224163001,1.57
20240224164001,0.36
20240224165001,0.65
20240226090001,41.87
20240226091001,46.43
20240226092001,66.32
20240226093001,61.02
20240226094001,72.43
20240226095001,159.95
20240226100001,110.82
20240226101001,107.54
20240226102001,96.99
20240226103001,113.61
20240226104001,116.75
20240226105001,212.36
20240226110001,106.15
20240226111001,88.71
20240226112001,93.9
20240226113001,72.94
20240226114001,67.5
20240226115001,60.09
20240226120001,91.51
20240226121001,77.43
20240226122001,72.13
20240226123001,84.8
20240226124001,69.4
20240226125001,60.24
20240226130001,41.16
20240226131001,23.54
20240226132001,23.45
20240226133001,24.14
20240226134001,20.65
20240226135001,23.89
20240226140001,31.52
20240226141001,23.23
20240226142001,23.77
20240226143001,25.63
20240226144001,17.56
20240226145001,12.2
20240226150001,10.78
20240226151001,11.69
20240226152001,10.21
20240226153001,12.03
20240226154001,7.34
20240226155001,3.75
20240226160001,3.29
20240226161001,3.35
20240226162001,3.13
20240226163001,1.44
20240226164001,0.75
20240226165001,0.54
20240327090001,219.74
20240327091001,197.63
20240327092001,192.73
20240327093001,232.84
20240327094001,274.29
20240327095001,431.0
20240327100001,594.13
20240327101001,546.53
20240327102001,630.24
20240327103001,742.82
20240327104001,617.42
20240327105001,471.4
20240327110001,954.83
20240327111001,688.84
20240327112001,571.85
20240327113001,428.24
20240327114001,452.36
20240327115001,409.62
20240327120001,75.77
20240327121001,120.15
20240327122001,93.08
20240327123001,92.16
20240327124001,102.78
20240327125001,68.83
20240327130001,82.24
20240327131001,93.08
20240327132001,76.45
20240327133001,74.72
20240327134001,53.78
20240327135001,28.42
20240327140001,23.7
20240327141001,15.83
20240327142001,16.01
20240327143001,15.61
20240327144001,16.39
20240327145001,16.52
20240327150001,7.93
20240327151001,15.07
20240327152001,19.11
20240327153001,14.52
20240327154001,14.93
20240327155001,14.33
20240327160001,12.1
20240327161001,10.16
20240327162001,4.95
20240327163001,3.39
20240327164001,5.13
20240327165001,2.5
20240329090001,40.45
20240329091001,23.65
20240329092001,25.17
20240329093001,17.52
20240329094001,37.5
20240329095001,43.52
20240329100001,69.16
20240329101001,82.18
20240329102001,87.26
20240329103001,64.39
20240329104001,37.45
20240329105001,19.84
20240329110001,82.92
